,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
1,GALAH 3H,24:00:00,32.17,119.37,8.75,180.0,90.0,Top 117 bottom 110,2020-10-01
2,GOANNA 1H,24:00:00,23.42,50.02,20.0,140.0,90.0,,2020-10-01
3,GREAT WHITE 1H,24:00:00,60.01,77.29,41.34,125.0,90.0,AFT- 123 BFT- 108,2020-10-01
4,GREAT WHITE 2H,24:00:00,56.67,93.44,37.0,125.0,90.0,AFT- 116 BFT- 112,2020-10-01
5,JAVELINA 1H,24:00:00,21.67,17.0,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm, Temp A-130 B-99",2020-10-01
6,MANTA 1H,24:00:00,27.9,42.83,20.23,200.0,80.0,AFT- 131 BFT- 111,2020-10-01
7,REEF 3H,24:00:00,37.86,50.5,17.09,200.0,70.0,"6.5spm, AFT-146 BFT- 135",2020-10-01
8,RIDGEBACK 1H,24:00:00,18.38,10.0,8.0,120.0,90.0,"7.1spm, Temp A-135 B-110",2020-10-01
9,SEA WASP 2H,24:00:00,15.45,55.7,3.33,100.0,80.0,,2020-10-01
10,STINGRAY 2H,24:00:00,3.33,4.0,2.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm, AFT- 115 BFT-107, Gas locked",2020-10-01
11,THORNY DEVIL 1H,24:00:00,42.19,141.36,25.42,180.0,100.0,,2020-10-01
12,THORNY DEVIL 2H,24:00:00,41.09,125.19,22.08,200.0,100.0,,2020-10-01
13,THORNY DEVIL 3H,24:00:00,15.04,21.51,1.25,180.0,90.0,,2020-10-01
14,WOMBAT 2H,24:00:00,15.03,19.14,15.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm, AFT-125 BFT- 108",2020-10-01
0,CROC 1H,24:00:00,9.2,7.91,0.0,200.0,70.0,"12on/12off, 6.5spm",2020-09-30
1,GALAH 3H,24:00:00,31.73,118.2,8.34,180.0,90.0,,2020-09-30
2,GOANNA 1H,24:00:00,25.09,49.02,17.5,115.0,90.0,,2020-09-30
3,GREAT WHITE 1H,24:00:00,56.66,82.0,15.0,125.0,90.0,,2020-09-30
4,GREAT WHITE 2H,24:00:00,43.34,51.0,15.0,125.0,90.0,,2020-09-30
5,JAVELINA 1H,24:00:00,20.01,17.0,8.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-30
6,MANTA 1H,24:00:00,36.95,46.63,23.98,200.0,80.0,,2020-09-30
7,REEF 3H,24:00:00,33.26,37.74,12.08,200.0,70.0,6.5spm,2020-09-30
8,RIDGEBACK 1H,24:00:00,16.71,10.0,3.0,120.0,90.0,7.1spm,2020-09-30
9,SEA WASP 2H,24:00:00,1.67,15.65,1.67,80.0,80.0,surged to 500 psi and speed up to 6 1/2 spm,2020-09-30
10,STINGRAY 2H,24:00:00,20.05,6.0,7.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-30
11,THORNY DEVIL 1H,24:00:00,46.55,141.57,26.66,180.0,100.0,,2020-09-30
12,THORNY DEVIL 2H,24:00:00,43.18,127.61,26.66,200.0,100.0,,2020-09-30
13,THORNY DEVIL 3H,24:00:00,16.71,22.57,5.0,180.0,90.0,,2020-09-30
14,WOMBAT 2H,24:00:00,11.69,19.0,15.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-30
0,CROC 1H,24:00:00,11.64,9.94,0.84,200.0,70.0,"12on/12off, 6.5spm",2020-09-29
1,GALAH 3H,24:00:00,40.12,127.48,13.33,180.0,90.0,,2020-09-29
2,GOANNA 1H,24:00:00,25.1,46.38,10.0,116.0,1219.0,,2020-09-29
3,GREAT WHITE 1H,24:00:00,66.67,70.0,35.33,125.0,90.0,,2020-09-29
4,GREAT WHITE 2H,24:00:00,38.33,87.0,23.0,125.0,90.0,,2020-09-29
5,JAVELINA 1H,24:00:00,23.34,17.0,8.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-29
6,MANTA 1H,24:00:00,20.84,41.45,23.72,200.0,80.0,,2020-09-29
7,REEF 3H,24:00:00,37.01,40.15,9.58,200.0,70.0,6.5spm,2020-09-29
8,RIDGEBACK 1H,24:00:00,16.77,9.0,3.0,120.0,90.0,7.1spm,2020-09-29
9,SEA WASP 2H,24:00:00,5.02,20.27,5.83,100.0,80.0,,2020-09-29
10,STINGRAY 2H,24:00:00,16.71,4.0,3.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-29
11,THORNY DEVIL 1H,24:00:00,48.63,142.36,26.26,180.0,100.0,,2020-09-29
12,THORNY DEVIL 2H,24:00:00,44.43,130.3,15.42,200.0,100.0,,2020-09-29
13,THORNY DEVIL 3H,24:00:00,26.32,36.58,12.5,180.0,90.0,,2020-09-29
14,WOMBAT 2H,24:00:00,15.03,19.0,7.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-29
0,CROC 1H,24:00:00,9.98,11.94,6.66,200.0,70.0,"12on/12off, 6.5spm",2020-09-28
1,GALAH 3H,24:00:00,12.17,122.02,8.75,180.0,90.0,,2020-09-28
2,GOANNA 1H,24:00:00,28.01,48.41,17.09,100.0,90.0,,2020-09-28
3,GREAT WHITE 1H,24:00:00,57.4,77.54,16.33,125.0,90.0,,2020-09-28
4,GREAT WHITE 2H,24:00:00,58.33,55.43,11.0,125.0,90.0,,2020-09-28
5,JAVELINA 1H,24:00:00,23.34,17.38,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-28
6,MANTA 1H,24:00:00,26.5,41.9,23.01,200.0,80.0,,2020-09-28
7,REEF 3H,24:00:00,31.19,39.41,17.92,200.0,70.0,6.5spm,2020-09-28
8,RIDGEBACK 1H,24:00:00,15.12,9.63,5.0,120.0,90.0,7.1spm,2020-09-28
9,SEA WASP 2H,24:00:00,12.53,37.75,0.0,100.0,80.0,Slowed back down to 5.5 spm,2020-09-28
10,STINGRAY 2H,24:00:00,16.71,5.04,3.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-28
11,THORNY DEVIL 1H,24:00:00,46.55,142.8,25.83,180.0,100.0,,2020-09-28
12,THORNY DEVIL 2H,24:00:00,41.11,129.13,22.5,200.0,100.0,,2020-09-28
13,THORNY DEVIL 3H,24:00:00,21.72,16.42,0.42,180.0,90.0,,2020-09-28
14,WOMBAT 2H,24:00:00,15.03,17.27,18.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-28
0,CROC 1H,24:00:00,19.96,27.01,19.59,0.0,0.0,"12on/12off, 6.5spm",2020-09-27
1,GALAH 3H,24:00:00,37.6,129.18,12.91,180.0,90.0,,2020-09-27
2,GOANNA 1H,24:00:00,28.02,51.81,20.83,100.0,90.0,,2020-09-27
3,GREAT WHITE 1H,24:00:00,65.0,77.23,33.34,125.0,90.0,,2020-09-27
4,GREAT WHITE 2H,24:00:00,46.87,85.45,35.0,125.0,90.0,,2020-09-27
5,JAVELINA 1H,24:00:00,21.67,17.39,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-27
6,MANTA 1H,24:00:00,39.05,47.61,23.72,200.0,80.0,,2020-09-27
7,REEF 3H,24:00:00,36.69,42.61,9.17,200.0,70.0,6.5spm,2020-09-27
8,RIDGEBACK 1H,24:00:00,14.63,11.38,5.0,120.0,90.0,7.1spm,2020-09-27
9,SEA WASP 2H,24:00:00,2.93,18.28,0.0,100.0,80.0,Sped up to 7SPM,2020-09-27
10,STINGRAY 2H,24:00:00,41.78,41.27,18.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-27
11,THORNY DEVIL 1H,24:00:00,44.74,144.92,26.67,180.0,100.0,,2020-09-27
12,THORNY DEVIL 2H,24:00:00,45.67,129.12,29.17,200.0,100.0,,2020-09-27
13,THORNY DEVIL 3H,24:00:00,12.12,24.51,6.67,180.0,90.0,,2020-09-27
14,WOMBAT 2H,24:00:00,8.35,17.27,7.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-27
0,CROC 1H,24:00:00,16.63,7.92,0.41,200.0,70.0,"12on/12off, 6.5spm",2020-09-26
1,GALAH 3H,24:00:00,42.19,130.26,17.51,200.0,90.0,,2020-09-26
2,GOANNA 1H,24:00:00,16.28,53.22,19.58,70.0,1086.0,,2020-09-26
3,GREAT WHITE 1H,24:00:00,58.63,70.58,17.99,125.0,90.0,,2020-09-26
4,GREAT WHITE 2H,24:00:00,50.0,58.66,0.0,125.0,90.0,,2020-09-26
5,JAVELINA 1H,24:00:00,20.01,17.59,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-26
6,MANTA 1H,24:00:00,29.99,42.54,27.2,200.0,80.0,,2020-09-26
7,REEF 3H,24:00:00,29.58,41.79,13.33,37.0,37.0,6.5spm,2020-09-26
8,RIDGEBACK 1H,24:00:00,18.37,10.63,3.0,120.0,90.0,7.1spm,2020-09-26
9,SEA WASP 2H,24:00:00,5.43,28.21,0.42,100.0,80.0,,2020-09-26
10,STINGRAY 2H,24:00:00,16.75,8.05,15.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-26
11,THORNY DEVIL 1H,24:00:00,47.38,149.05,25.83,180.0,100.0,,2020-09-26
12,THORNY DEVIL 2H,24:00:00,47.33,130.87,25.0,200.0,100.0,Load cell cable replaced,2020-09-26
13,THORNY DEVIL 3H,24:00:00,17.54,34.84,12.08,180.0,90.0,,2020-09-26
14,WOMBAT 2H,24:00:00,13.36,14.64,10.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-26
0,CROC 1H,24:00:00,11.64,10.57,5.83,200.0,70.0,"12on/12off, 6.5spm",2020-09-25
1,GALAH 3H,24:00:00,44.28,129.69,24.16,180.0,90.0,,2020-09-25
2,GOANNA 1H,24:00:00,27.7,51.29,18.34,110.0,90.0,,2020-09-25
3,GREAT WHITE 1H,24:00:00,55.0,69.88,33.67,125.0,90.0,,2020-09-25
4,GREAT WHITE 2H,24:00:00,45.0,85.33,33.0,125.0,90.0,,2020-09-25
5,JAVELINA 1H,24:00:00,21.7,17.43,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-25
6,MANTA 1H,24:00:00,31.37,42.63,29.99,200.0,80.0,,2020-09-25
7,REEF 3H,24:00:00,22.94,37.36,14.16,200.0,70.0,6.5spm,2020-09-25
8,RIDGEBACK 1H,24:00:00,16.71,9.53,3.0,120.0,90.0,7.1spm,2020-09-25
9,SEA WASP 2H,24:00:00,10.02,51.04,15.41,100.0,80.0,Chem treated,2020-09-25
10,STINGRAY 2H,24:00:00,20.12,4.44,2.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-25
11,THORNY DEVIL 1H,24:00:00,48.21,147.46,31.67,180.0,100.0,Chem treated,2020-09-25
12,THORNY DEVIL 2H,24:00:00,44.01,131.86,23.33,200.0,100.0,Put back on auto Chem treated,2020-09-25
13,THORNY DEVIL 3H,24:00:00,28.83,29.37,1.67,180.0,90.0,,2020-09-25
14,WOMBAT 2H,24:00:00,16.73,19.11,17.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-25
0,CROC 1H,24:00:00,11.65,11.36,5.0,200.0,70.0,"12on/12off, 6.5spm",2020-09-24
1,GALAH 3H,24:00:00,38.85,129.79,3.33,180.0,90.0,,2020-09-24
2,GOANNA 1H,24:00:00,27.24,47.12,18.33,100.0,90.0,,2020-09-24
3,GREAT WHITE 1H,24:00:00,59.06,73.3,15.34,125.0,90.0,,2020-09-24
4,GREAT WHITE 2H,24:00:00,49.1,56.59,21.0,125.0,90.0,,2020-09-24
5,JAVELINA 1H,24:00:00,13.02,18.0,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-24
6,MANTA 1H,24:00:00,33.46,46.9,32.82,200.0,80.0,,2020-09-24
7,REEF 3H,24:00:00,36.61,39.5,10.0,200.0,70.0,6.5spm,2020-09-24
8,RIDGEBACK 1H,24:00:00,20.05,8.0,8.0,120.0,90.0,7.1spm,2020-09-24
9,SEA WASP 2H,24:00:00,13.79,49.7,0.0,100.0,80.0,,2020-09-24
10,STINGRAY 2H,24:00:00,28.42,27.87,10.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-24
11,THORNY DEVIL 1H,24:00:00,56.52,148.74,31.66,180.0,100.0,,2020-09-24
12,THORNY DEVIL 2H,24:00:00,47.36,128.13,17.5,200.0,100.0,Unit not running right in auto left in hand called out lewroy,2020-09-24
13,THORNY DEVIL 3H,24:00:00,13.79,28.39,5.41,180.0,90.0,,2020-09-24
14,WOMBAT 2H,24:00:00,11.73,18.97,7.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-24
0,CROC 1H,24:00:00,24.95,26.78,19.17,200.0,70.0,"12on/12off, 6.5spm",2020-09-23
1,GALAH 3H,24:00:00,30.95,128.19,12.51,200.0,90.0,,2020-09-23
2,GOANNA 1H,24:00:00,26.76,48.39,26.67,100.0,90.0,,2020-09-23
3,GREAT WHITE 1H,24:00:00,68.34,75.0,35.33,125.0,90.0,,2020-09-23
4,GREAT WHITE 2H,24:00:00,54.06,90.0,28.0,125.0,90.0,,2020-09-23
5,JAVELINA 1H,24:00:00,21.68,17.0,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-23
6,MANTA 1H,24:00:00,30.7,42.85,26.51,200.0,80.0,,2020-09-23
7,REEF 3H,24:00:00,34.95,42.93,15.0,200.0,70.0,6.5spm,2020-09-23
8,RIDGEBACK 1H,24:00:00,16.71,9.0,3.0,120.0,90.0,7.1spm,2020-09-23
9,SEA WASP 2H,24:00:00,12.8,45.0,3.34,100.0,80.0,,2020-09-23
10,STINGRAY 2H,24:00:00,15.04,5.0,10.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-23
11,THORNY DEVIL 1H,24:00:00,44.49,148.16,23.34,180.0,100.0,,2020-09-23
12,THORNY DEVIL 2H,24:00:00,11.01,96.79,5.0,200.0,100.0,unit pumping off put in hand,2020-09-23
13,THORNY DEVIL 3H,24:00:00,12.97,32.0,8.75,180.0,90.0,,2020-09-23
14,WOMBAT 2H,24:00:00,15.1,19.0,7.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-23
0,CROC 1H,24:00:00,6.65,7.9,0.42,200.0,70.0,"12on/12off, 6.5spm, gas locked, sped unit up and got back p/a",2020-09-22
1,GALAH 3H,24:00:00,43.01,133.99,14.16,200.0,90.0,,2020-09-22
2,GOANNA 1H,24:00:00,27.19,50.59,23.33,100.0,90.0,,2020-09-22
3,GREAT WHITE 1H,24:00:00,68.33,75.0,19.67,125.0,90.0,,2020-09-22
4,GREAT WHITE 2H,24:00:00,46.67,51.0,7.0,125.0,90.0,,2020-09-22
5,JAVELINA 1H,24:00:00,21.68,17.0,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-22
6,MANTA 1H,24:00:00,24.02,45.22,22.58,200.0,80.0,,2020-09-22
7,REEF 3H,24:00:00,29.96,36.45,9.17,200.0,70.0,6.5spm,2020-09-22
8,RIDGEBACK 1H,24:00:00,16.71,10.0,3.0,120.0,90.0,7.1spm,2020-09-22
9,SEA WASP 2H,24:00:00,20.45,44.65,5.0,100.0,80.0,,2020-09-22
10,STINGRAY 2H,24:00:00,18.38,5.0,0.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-22
11,THORNY DEVIL 1H,24:00:00,44.39,149.38,27.08,180.0,100.0,,2020-09-22
12,THORNY DEVIL 2H,24:00:00,38.6,132.25,23.75,200.0,100.0,,2020-09-22
13,THORNY DEVIL 3H,24:00:00,25.57,33.04,4.17,180.0,90.0,,2020-09-22
14,WOMBAT 2H,24:00:00,7.54,19.0,7.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-22
0,CROC 1H,24:00:00,11.64,9.65,0.83,200.0,70.0,"12on12off, 6.5spm",2020-09-21
1,GALAH 3H,24:00:00,25.08,112.88,6.67,200.0,90.0,,2020-09-21
2,GOANNA 1H,24:00:00,27.19,54.09,28.33,120.0,90.0,,2020-09-21
3,GREAT WHITE 1H,24:00:00,60.0,80.0,35.0,125.0,90.0,,2020-09-21
4,GREAT WHITE 2H,24:00:00,41.67,88.0,35.0,125.0,90.0,,2020-09-21
5,JAVELINA 1H,24:00:00,20.01,18.0,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-21
6,MANTA 1H,24:00:00,39.05,48.61,14.65,200.0,80.0,,2020-09-21
7,REEF 3H,24:00:00,35.77,40.5,10.84,200.0,70.0,6.5spm,2020-09-21
8,RIDGEBACK 1H,24:00:00,13.37,10.0,3.0,120.0,90.0,7.1spm,2020-09-21
9,SEA WASP 2H,24:00:00,16.71,48.52,13.33,0.0,0.0,,2020-09-21
10,STINGRAY 2H,24:00:00,33.42,37.0,22.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-21
11,THORNY DEVIL 1H,24:00:00,48.21,150.6,31.66,180.0,100.0,,2020-09-21
12,THORNY DEVIL 2H,24:00:00,43.18,133.35,28.33,160.0,100.0,Unit down min load reset BOL,2020-09-21
13,THORNY DEVIL 3H,24:00:00,11.46,19.21,8.33,180.0,90.0,,2020-09-21
14,WOMBAT 2H,24:00:00,14.2,20.0,12.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-21
0,CROC 1H,24:00:00,8.92,11.26,5.0,18.0,0.0,"12on/12off, 6.5spm",2020-09-20
1,GALAH 3H,24:00:00,45.11,131.59,13.33,200.0,90.0,,2020-09-20
2,GOANNA 1H,24:00:00,25.95,53.2,20.0,120.0,90.0,,2020-09-20
3,GREAT WHITE 1H,24:00:00,66.66,81.91,20.33,125.0,90.0,,2020-09-20
4,GREAT WHITE 2H,24:00:00,60.0,57.49,13.0,125.0,90.0,,2020-09-20
5,JAVELINA 1H,24:00:00,21.67,17.59,12.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-20
6,MANTA 1H,24:00:00,27.89,42.34,24.41,200.0,80.0,,2020-09-20
7,REEF 3H,24:00:00,36.59,41.25,10.83,200.0,70.0,6.5spm,2020-09-20
8,RIDGEBACK 1H,24:00:00,20.05,8.07,3.0,120.0,90.0,7.1spm,2020-09-20
9,SEA WASP 2H,24:00:00,13.37,51.18,5.0,120.0,80.0,,2020-09-20
10,STINGRAY 2H,24:00:00,21.72,7.92,2.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-20
11,THORNY DEVIL 1H,24:00:00,47.6,151.49,30.0,180.0,100.0,,2020-09-20
12,THORNY DEVIL 2H,24:00:00,43.18,133.94,25.0,200.0,100.0,,2020-09-20
13,THORNY DEVIL 3H,24:00:00,28.41,38.31,5.0,180.0,90.0,,2020-09-20
14,WOMBAT 2H,24:00:00,11.7,19.77,17.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-20
0,CROC 1H,24:00:00,24.96,27.13,16.25,200.0,70.0,"12on/12off, 6.5spm",2020-09-19
1,GALAH 3H,24:00:00,35.09,124.19,8.33,200.0,90.0,,2020-09-19
2,GOANNA 1H,24:00:00,20.27,49.66,19.17,120.0,90.0,,2020-09-19
3,GREAT WHITE 1H,24:00:00,42.76,77.44,45.0,125.0,90.0,,2020-09-19
4,GREAT WHITE 2H,24:00:00,40.0,86.16,20.0,125.0,90.0,,2020-09-19
5,JAVELINA 1H,24:00:00,21.67,17.6,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-19
6,MANTA 1H,24:00:00,37.64,47.65,27.9,200.0,80.0,,2020-09-19
7,REEF 3H,24:00:00,29.1,40.08,12.5,200.0,70.0,6.5spm,2020-09-19
8,RIDGEBACK 1H,24:00:00,16.72,8.59,7.0,120.0,90.0,7.1spm,2020-09-19
9,SEA WASP 2H,24:00:00,5.01,53.59,11.67,100.0,80.0,,2020-09-19
10,STINGRAY 2H,24:00:00,20.06,4.94,0.0,1872.0,1872.0,,2020-09-19
11,THORNY DEVIL 1H,24:00:00,49.87,153.77,28.34,180.0,100.0,,2020-09-19
12,THORNY DEVIL 2H,24:00:00,42.49,132.8,25.0,200.0,100.0,,2020-09-19
13,THORNY DEVIL 3H,24:00:00,15.04,19.35,1.67,180.0,90.0,,2020-09-19
14,WOMBAT 2H,24:00:00,11.69,20.72,16.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-19
0,CROC 1H,24:00:00,14.97,7.28,0.0,200.0,70.0,"12on/12off, 6.5spm",2020-09-18
1,GALAH 3H,24:00:00,37.6,132.17,15.84,200.0,90.0,,2020-09-18
2,GOANNA 1H,24:00:00,27.6,47.29,15.83,110.0,90.0,,2020-09-18
3,GREAT WHITE 1H,24:00:00,65.0,74.06,23.33,125.0,90.0,,2020-09-18
4,GREAT WHITE 2H,24:00:00,60.0,58.02,20.0,125.0,90.0,,2020-09-18
5,JAVELINA 1H,24:00:00,16.3,18.27,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-18
6,MANTA 1H,24:00:00,36.26,42.99,30.69,200.0,80.0,,2020-09-18
7,REEF 3H,24:00:00,38.26,48.29,10.83,200.0,70.0,6.5spm,2020-09-18
8,RIDGEBACK 1H,24:00:00,16.8,10.86,5.0,120.0,90.0,7.1spm,2020-09-18
9,SEA WASP 2H,24:00:00,8.77,57.13,13.33,0.0,0.0,,2020-09-18
10,STINGRAY 2H,24:00:00,15.03,4.68,2.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-18
11,THORNY DEVIL 1H,24:00:00,55.28,157.61,31.25,180.0,100.0,,2020-09-18
12,THORNY DEVIL 2H,24:00:00,43.6,133.47,18.75,200.0,100.0,,2020-09-18
13,THORNY DEVIL 3H,24:00:00,12.53,30.03,15.0,180.0,90.0,,2020-09-18
14,WOMBAT 2H,24:00:00,13.36,17.44,5.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-18
0,CROC 1H,24:00:00,8.32,8.01,1.67,200.0,70.0,"12on/12off, 6.5spm, low prod due to gas lock, sped up unit and got back p/a",2020-09-17
1,GALAH 3H,24:00:00,9.19,109.43,3.75,200.0,90.0,Chem treated,2020-09-17
2,GOANNA 1H,24:00:00,27.6,56.5,27.51,120.0,90.0,,2020-09-17
3,GREAT WHITE 1H,24:00:00,63.82,77.66,28.0,125.0,90.0,,2020-09-17
4,GREAT WHITE 2H,24:00:00,49.8,82.87,27.0,125.0,90.0,,2020-09-17
5,JAVELINA 1H,24:00:00,25.01,18.0,7.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-17
6,MANTA 1H,24:00:00,32.09,4.0,29.3,200.0,80.0,,2020-09-17
7,REEF 3H,24:00:00,29.15,42.47,8.75,200.0,70.0,6.5spm,2020-09-17
8,RIDGEBACK 1H,24:00:00,14.89,11.0,3.0,120.0,90.0,7.1spm,2020-09-17
9,SEA WASP 2H,24:00:00,13.37,59.56,16.67,100.0,80.0,Chem treated,2020-09-17
10,STINGRAY 2H,24:00:00,35.06,46.52,10.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-17
11,THORNY DEVIL 1H,24:00:00,55.7,157.0,30.83,200.0,100.0,Chem treated,2020-09-17
12,THORNY DEVIL 2H,24:00:00,44.01,130.79,22.5,200.0,100.0,,2020-09-17
13,THORNY DEVIL 3H,24:00:00,35.51,27.63,5.42,180.0,90.0,Chem treated,2020-09-17
14,WOMBAT 2H,24:00:00,16.7,16.72,15.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-17
0,CROC 1H,24:00:00,8.32,11.01,11.25,200.0,70.0,"12on/12off, 6.5spm",2020-09-16
1,GALAH 3H,24:00:00,34.26,124.88,11.25,200.0,90.0,,2020-09-16
2,GOANNA 1H,24:00:00,26.34,51.59,17.49,110.0,90.0,,2020-09-16
3,GREAT WHITE 1H,24:00:00,60.0,78.22,26.34,125.0,90.0,,2020-09-16
4,GREAT WHITE 2H,24:00:00,48.34,64.59,17.0,125.0,90.0,,2020-09-16
5,JAVELINA 1H,24:00:00,20.01,18.06,13.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-16
6,MANTA 1H,24:00:00,13.74,30.38,23.71,200.0,80.0,,2020-09-16
7,REEF 3H,24:00:00,32.87,41.54,12.92,200.0,70.0,6.5spm,2020-09-16
8,RIDGEBACK 1H,24:00:00,13.36,10.53,3.0,120.0,90.0,7.1spm,2020-09-16
9,SEA WASP 2H,24:00:00,19.63,74.37,1.66,100.0,80.0,,2020-09-16
10,STINGRAY 2H,24:00:00,20.05,7.68,7.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-16
11,THORNY DEVIL 1H,24:00:00,57.35,160.75,39.17,200.0,100.0,,2020-09-16
12,THORNY DEVIL 2H,24:00:00,44.84,133.08,24.17,200.0,100.0,,2020-09-16
13,THORNY DEVIL 3H,24:00:00,15.88,18.27,2.91,180.0,90.0,,2020-09-16
14,WOMBAT 2H,24:00:00,15.03,21.48,20.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-16
0,CROC 1H,24:00:00,19.96,25.95,20.42,200.0,70.0,"12on/12off, 6.5spm / Chem treated",2020-09-15
1,GALAH 3H,24:00:00,46.78,129.37,24.16,200.0,90.0,,2020-09-15
2,GOANNA 1H,24:00:00,25.1,47.03,10.01,110.0,90.0,,2020-09-15
3,GREAT WHITE 1H,24:00:00,51.66,79.31,29.66,125.0,90.0,chem treated,2020-09-15
4,GREAT WHITE 2H,24:00:00,48.01,82.14,31.0,125.0,90.0,chem treated,2020-09-15
5,JAVELINA 1H,24:00:00,20.0,18.07,5.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-15
6,MANTA 1H,24:00:00,33.47,29.36,25.11,200.0,80.0,,2020-09-15
7,REEF 3H,24:00:00,37.42,43.71,20.83,200.0,70.0,6.5spm / Chem treated,2020-09-15
8,RIDGEBACK 1H,24:00:00,18.39,9.86,7.0,120.0,90.0,7.1spm,2020-09-15
9,SEA WASP 2H,24:00:00,24.65,10.99,44.59,50.0,250.0,Hotoiled 50/20,2020-09-15
10,STINGRAY 2H,24:00:00,18.38,4.98,2.0,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2020-09-15
11,THORNY DEVIL 1H,24:00:00,54.68,154.58,31.67,200.0,100.0,,2020-09-15
12,THORNY DEVIL 2H,24:00:00,38.64,133.94,23.33,200.0,100.0,,2020-09-15
13,THORNY DEVIL 3H,24:00:00,11.69,27.26,7.92,180.0,90.0,,2020-09-15
14,WOMBAT 2H,24:00:00,13.36,20.63,9.0,225.0,90.0,"10hrs on/14hrs off, 7.5spm",2020-09-15
0,CROC 1H,24:00:00,14.97,7.94,1.66,200.0,70.0,"12on/12off, 6.5spm",2020-09-14
1,GALAH 3H,24:00:00,26.26,128.0,14.59,200.0,90.0,,2020-09-14
2,GOANNA 1H,24:00:00,28.44,53.65,39.16,110.0,90.0,,2020-09-14
3,GREAT WHITE 1H,24:00:00,59.83,82.0,28.33,125.0,90.0,,2020-09-14
4,GREAT WHITE 2H,24:00:00,48.34,64.0,20.0,125.0,90.0,,2020-09-14
5,JAVELINA 1H,24:00:00,20.01,18.0,10.0,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2020-09-14
6,MANTA 1H,24:00:00,30.68,4.0,29.56,200.0,80.0,,2020-09-14
7,REEF 3H,24:00:00,33.26,41.68,13.33,200.0,70.0,6.5spm,2020-09-14
8,RIDGEBACK 1H,24:00:00,18.38,11.0,7.0,120.0,90.0,7.1spm,2020-09-14
9,SEA WASP 2H,24:00:00,18.38,51.86,2.08,100.0,80.0,,2020-09-14
